allmb_name	gbif_species_key	num_occurrences	crop_state
Manihot_esculenta	3060998	89997	domesticate
Manihot_esculenta_subsp._flabellifolia	3060998	89997	progenitor
Cucumis_sativus	2874569	21420	secondary
Cucurbita_moschata	7393329	9912	undifferentiated
Cucurbita_argyrosperma_subsp._sororia	7156471	2154	progenitor
Cucurbita_pepo	2874508	16914	domesticate
Cucurbita_maxima	7655426	9035	domesticate
Cucurbita_maxima_subsp._andreana	7655426	9035	progenitor
Cucurbita_pepo_subsp._fraterna	8860489	748	progenitor
Cucurbita_argyrosperma	7156471	2154	domesticate
Cucurbita_ficifolia	2874512	1523	undifferentiated
Artocarpus_mariannensis	2984573	3300	progenitor
Artocarpus_altilis	2984573	3300	domesticate
Phaseolus_vulgaris	5350452	223125	secondary
Arachis_hypogaea_var._vulgaris	5353770	48360	domesticate
Arachis_ipaensis	5353793	38	progenitor
Arachis_duranensis	5353841	1047	progenitor
Brassica_rapa	7903057	49984	secondary
Mangifera_indica	3190638	9674	domesticate
Mangifera_sylvatica	3662046	148	progenitor
Solanum_bukasovii_f._multidissectum	7299615	1191	progenitor
Solanum_tuberosum_subsp._andigenum	2930262	76632	domesticate
Nicotiana_tabacum	2928774	21553	secondary
Ipomoea_trifida	4267463	2642	progenitor
Ipomoea_batatas	2928551	31110	domesticate
Helianthus_annuus	9206251	44229	secondary
Beta_vulgaris	8971274	103370	secondary
Fagopyrum_tataricum	2889378	2855	domesticate
Fagopyrum_esculentum_subsp._ancestrale	4036222	1	progenitor
Ensete_ventricosum	2763050	536	undifferentiated
Musa_balbisiana_var._balbisiana	2762950	594	progenitor
Musa_acuminata_subsp._errans	2762680	2788	progenitor
Musa_champa	2762752		domesticate
Metroxylon_sagu	2733781	207	undifferentiated
Cocos_nucifera	2735117	5604	undifferentiated
Phoenix_sylvestris	5293177	132	progenitor
Phoenix_dactylifera	6109699	4075	domesticate
Eleusine_coracana_subsp._coracana	2705957	15991	domesticate
Eleusine_coracana_subsp._africana	4124350	1335	progenitor
Eragrostis_pilosa	2705400	15891	progenitor
Eragrostis_tef	2705325	1788	domesticate
Eragrostis_rigidior	2705391	3078	secondary
Sorghum_arundinaceum	4108497	3351	progenitor
Sorghum_bicolor	2705181	137837	domesticate
Saccharum_officinarum	2703912	2868	secondary
Zea_mays_subsp._parviglumis	5678457	1254	progenitor
Avena_sativa	2705290	158258	secondary
Hordeum_vulgare	2706056	296182	secondary
Hordeum_vulgare_subsp._vulgare	2706056	296182	domesticate
Hordeum_vulgare_subsp._spontaneum	2706075	17099	progenitor
Secale_cereale	2705966	43597	domesticate
Secale_vavilovii	4121006	219	progenitor
Aegilops_tauschii	5289779	5491	progenitor
Triticum_dicoccoides	8651300	1517	progenitor
Triticum_aestivum	7795888	521316	domesticate
Triticum_urartu	2706411	2859	progenitor
Oryza_sativa	2703459	367019	domesticate
Oryza_rufipogon	2703463	11876	progenitor
Dioscorea_alata	2754476	6536	domesticate
Dioscorea_polystachya	2754732	1104	undifferentiated
Dioscorea_hamiltonii	2754651	711	progenitor
Dioscorea_cayennensis_subsp._rotundata	6406374	8566	domesticate
Dioscorea_abyssinica	2754610	486	progenitor
Dioscorea_cayennensis	6406374	8566	domesticate
Dioscorea_praehensilis	2754460	1501	progenitor
Dioscorea_minutiflora	2755468	758	progenitor
Dioscorea_esculenta	2755195	1037	undifferentiated
Dioscorea_trifida	2755239	892	undifferentiated
Dioscorea_bulbifera	2755489	7895	undifferentiated
Colocasia_yunnanensis	5330769	110	progenitor
Colocasia_esculenta	5330776	9238	domesticate
Colocasia_formosana	5330776	9238	progenitor
Piper_auritum	3086352	3205	secondary
